seed,octaves,frequency,sea_level,erosion_rate,deposition_rate,evaporation,inertia,capacity,droplet_life,erosion_iters,wind_angle,wind_strength,height_retention,elevation_variance,max_ridge_height,river_density,slope_variance,land_fraction
1857,7,3.21,0.34,0.076,0.339,0.0332,0.022,5.3,32,100000,48.7,1.05,0.6825,0.1309,0.3879,0.0018,0.0348,0.1008
9607,4,1.86,0.25,0.082,0.512,0.0117,0.324,1.1,26,50000,31.7,0.60,0.9202,0.1781,0.6136,0.0152,0.0243,0.2939
5548,4,1.88,0.28,0.114,0.429,0.0199,0.121,3.5,33,10000,11.7,1.20,0.9651,0.1689,0.6026,0.0096,0.0253,0.2615
8897,5,3.58,0.43,0.017,0.294,0.0107,0.158,7.1,40,200000,8.4,1.10,0.4920,0.1239,0.3019,0.0000,0.0433,0.0262
8832,5,5.47,0.25,0.308,0.338,0.0171,0.266,6.5,51,10000,337.8,1.03,0.9210,0.1503,0.3638,0.0077,0.0142,0.3392
6655,7,2.35,0.38,0.371,0.140,0.0296,0.015,5.9,70,10000,136.0,0.88,0.9460,0.1665,0.4919,0.0038,0.0357,0.1288
8116,7,1.54,0.41,0.350,0.151,0.0354,0.185,5.1,18,100000,117.2,0.78,0.4338,0.1015,0.1015,0.0000,0.0129,0.0044
6926,4,3.24,0.23,0.353,0.507,0.0175,0.012,5.3,37,50000,75.6,0.90,0.7433,0.1305,0.4749,0.0186,0.0249,0.2791
9660,6,4.48,0.26,0.240,0.530,0.0376,0.213,4.7,52,100000,259.2,0.65,0.6394,0.1163,0.2292,0.0214,0.0071,0.1680
8661,5,3.55,0.22,0.348,0.721,0.0177,0.137,3.6,57,200000,208.8,1.39,0.3737,0.0823,0.1554,0.0075,0.0068,0.0732
7970,7,2.14,0.26,0.199,0.661,0.0177,0.135,1.7,26,50000,272.6,1.10,0.8786,0.1589,0.5046,0.0217,0.0209,0.3125
7110,5,5.34,0.25,0.203,0.600,0.0010,0.062,6.0,74,100000,177.4,1.30,0.4252,0.0858,0.2170,0.0019,0.0135,0.0654
3230,7,2.01,0.38,0.023,0.215,0.0245,0.214,6.7,19,10000,151.9,0.99,0.9697,0.1725,0.3551,0.0004,0.0274,0.1633
9191,6,2.91,0.43,0.138,0.628,0.0281,0.139,2.2,24,10000,145.5,0.80,0.9770,0.1738,0.3772,0.0010,0.0317,0.1176
8660,6,4.87,0.22,0.377,0.566,0.0278,0.349,4.3,52,10000,82.5,1.26,0.9575,0.1588,0.4388,0.0080,0.0169,0.4019
5934,7,5.07,0.47,0.089,0.476,0.0345,0.141,6.6,35,100000,285.9,1.93,0.6119,0.1168,0.0771,0.0000,0.0150,0.0009
7382,7,2.04,0.24,0.292,0.607,0.0170,0.312,3.1,79,10000,266.6,1.60,0.9632,0.1595,0.4613,0.0068,0.0179,0.3743
7554,6,2.06,0.33,0.056,0.187,0.0112,0.074,2.1,70,200000,171.5,0.92,0.6013,0.1376,0.3538,0.0006,0.0399,0.1017
8668,5,4.69,0.22,0.121,0.134,0.0061,0.122,7.5,67,200000,299.6,1.00,0.1168,0.0336,0.0786,0.0000,0.0064,0.0002
5048,4,2.61,0.29,0.339,0.206,0.0073,0.023,6.5,26,10000,84.2,1.03,0.9065,0.1609,0.5378,0.0007,0.0423,0.2677
6700,6,3.17,0.37,0.408,0.562,0.0356,0.276,7.0,17,100000,22.7,0.84,0.4384,0.0973,0.0737,0.0000,0.0098,0.0065
6917,6,4.86,0.45,0.348,0.315,0.0054,0.097,5.3,24,10000,325.6,1.80,0.9033,0.1575,0.4398,0.0000,0.0443,0.0416
3246,4,5.13,0.23,0.084,0.495,0.0297,0.036,3.7,42,200000,325.0,1.03,0.5262,0.1142,0.3365,0.0200,0.0273,0.1737
1723,5,1.92,0.39,0.036,0.250,0.0038,0.048,4.2,50,50000,71.6,1.93,0.8484,0.1700,0.3968,0.0019,0.0397,0.1258
9265,4,5.31,0.22,0.229,0.459,0.0295,0.344,3.3,63,200000,306.1,1.66,0.4339,0.0955,0.1953,0.0118,0.0070,0.1245
4986,6,4.06,0.29,0.082,0.755,0.0200,0.019,1.9,56,10000,52.2,1.96,0.9861,0.1778,0.5579,0.0020,0.0466,0.2688
6898,7,5.23,0.46,0.239,0.597,0.0062,0.308,5.5,45,200000,43.6,0.99,0.2022,0.0500,-0.1657,0.0000,0.0057,0.0000
3904,6,4.96,0.45,0.300,0.278,0.0360,0.085,6.0,51,50000,168.1,0.72,0.7543,0.1278,0.1061,0.0000,0.0137,0.0092
2626,5,2.73,0.44,0.249,0.666,0.0041,0.172,6.8,74,10000,8.5,1.21,0.9141,0.1500,0.3703,0.0000,0.0237,0.0477
1404,6,1.51,0.46,0.024,0.464,0.0404,0.115,4.8,69,200000,58.0,0.95,0.6301,0.1339,0.1813,0.0000,0.0355,0.0180
8900,4,4.99,0.49,0.104,0.425,0.0297,0.081,4.1,57,200000,195.6,1.77,0.4596,0.1009,0.0021,0.0000,0.0168,0.0001
3128,4,3.17,0.37,0.300,0.689,0.0156,0.205,1.8,30,100000,76.1,1.78,0.7294,0.1406,0.2809,0.0108,0.0139,0.0900
9477,4,1.78,0.41,0.267,0.203,0.0207,0.248,7.4,78,100000,212.5,1.77,0.4424,0.0863,0.0486,0.0000,0.0095,0.0018
5592,7,5.36,0.41,0.406,0.421,0.0016,0.065,2.4,62,10000,318.1,1.97,0.9569,0.1622,0.4107,0.0000,0.0392,0.1274
3202,7,2.94,0.43,0.356,0.563,0.0058,0.258,4.6,51,10000,47.4,1.60,0.9299,0.1562,0.4039,0.0000,0.0194,0.0648
3963,5,2.29,0.32,0.118,0.678,0.0298,0.026,3.0,54,10000,213.4,1.13,0.9772,0.1702,0.4484,0.0015,0.0303,0.2374
7528,7,2.97,0.42,0.181,0.231,0.0305,0.196,6.8,51,10000,114.7,0.71,0.9406,0.1592,0.4869,0.0000,0.0247,0.0815
9292,6,5.38,0.21,0.089,0.683,0.0395,0.353,1.4,57,50000,346.1,1.72,0.9106,0.1674,0.5114,0.0136,0.0290,0.4048
573,5,1.76,0.21,0.138,0.638,0.0152,0.228,7.4,33,10000,122.9,1.66,0.9305,0.1656,0.5900,0.0142,0.0204,0.4074
9447,7,3.41,0.37,0.327,0.715,0.0111,0.064,7.3,79,50000,28.0,0.86,0.6645,0.1168,0.2930,0.0000,0.0189,0.0413
7593,5,2.55,0.41,0.082,0.385,0.0382,0.346,1.9,46,10000,168.2,1.68,0.9817,0.1785,0.3637,0.0000,0.0295,0.1406
5500,7,3.47,0.21,0.191,0.539,0.0117,0.035,7.2,78,200000,181.0,1.24,0.1768,0.0437,0.0759,0.0000,0.0069,0.0020
836,6,2.75,0.25,0.118,0.791,0.0330,0.327,1.1,73,10000,130.1,0.83,0.9802,0.1828,0.6458,0.0053,0.0319,0.3589
9345,7,2.17,0.44,0.215,0.108,0.0323,0.202,3.3,45,100000,237.9,1.81,0.6503,0.1269,0.1501,0.0000,0.0139,0.0150
4502,7,2.87,0.46,0.206,0.631,0.0089,0.118,3.3,38,10000,233.5,1.95,0.9564,0.1624,0.2760,0.0000,0.0278,0.0537
4805,7,2.85,0.36,0.367,0.192,0.0331,0.134,5.9,42,50000,325.4,0.61,0.7244,0.1253,0.2679,0.0078,0.0149,0.0787
4918,6,2.78,0.43,0.049,0.556,0.0124,0.266,4.8,68,50000,202.3,0.71,0.8214,0.1499,0.2716,0.0000,0.0234,0.0535
6027,4,4.66,0.38,0.201,0.463,0.0348,0.116,4.7,66,100000,76.5,1.68,0.6430,0.1164,0.0790,0.0000,0.0091,0.0308
5299,4,2.24,0.43,0.231,0.408,0.0329,0.022,2.9,46,50000,355.8,1.35,0.8583,0.1593,0.3371,0.0000,0.0266,0.0783
9970,6,3.41,0.48,0.075,0.642,0.0171,0.181,4.7,65,200000,202.9,0.62,0.4269,0.0960,0.0161,0.0000,0.0174,0.0003
3860,4,2.11,0.49,0.378,0.176,0.0397,0.195,1.9,28,50000,197.5,1.67,0.8622,0.1633,0.2437,0.0016,0.0179,0.0391
1224,5,2.99,0.30,0.223,0.661,0.0027,0.082,4.6,25,100000,298.0,1.38,0.4868,0.1020,0.1754,0.0000,0.0141,0.0594
4377,5,1.82,0.20,0.126,0.534,0.0280,0.223,1.4,51,100000,317.0,0.96,0.7856,0.1645,0.5713,0.0205,0.0221,0.3371
